DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,Category
2018-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,57,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,61,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,70,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,30,1,Good,"{'Number': 1, 'Name': 'Good'}"
2018-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-05-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-05-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-06-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,57,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-06-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good,"{'Number': 1, 'Name': 'Good'}"
2018-07-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,74,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-07-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-08-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good,"{'Number': 1, 'Name': 'Good'}"
2018-08-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,75,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-09-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2018-09-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,34,1,Good,"{'Number': 1, 'Name': 'Good'}"
2018-10-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-10-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,"{'Number': 1, 'Name': 'Good'}"
2018-11-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,69,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-11-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good,"{'Number': 1, 'Name': 'Good'}"
2018-12-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2018-12-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,61,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,59,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,20,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-05-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-05-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-06-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,59,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-06-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,37,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-07-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,34,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-07-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-08-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,51,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-08-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-09-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-09-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,42,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-10-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,47,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-10-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,59,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-11-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,25,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-11-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-12-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,32,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-12-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,62,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,74,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,24,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good,"{'Number': 1, 'Name': 'Good'}"
