DATE,MHINY36005A052NCEN
1989-01-01,19881
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,21454
1994-01-01,.
1995-01-01,22225
1996-01-01,.
1997-01-01,24031
1998-01-01,25750
1999-01-01,26506
2000-01-01,27696
2001-01-01,26323
2002-01-01,26361
2003-01-01,27855
2004-01-01,28173
2005-01-01,29331
2006-01-01,31498
2007-01-01,34031
2008-01-01,35108
2009-01-01,32888
2010-01-01,32674
2011-01-01,32137
2012-01-01,32510
2013-01-01,33079
2014-01-01,33687
2015-01-01,35102
2016-01-01,37355
2017-01-01,37377
2018-01-01,38566
2019-01-01,41470
2020-01-01,44906
2021-01-01,43143
2022-01-01,45864
